ID;Type;Question;Answer_A;Answer_B;Answer_C;Answer_D;Correct;Flag;Asked;Answered
36;f;What is the 45th Ferengi Rule of Acquisition?;Expand or die.;;;;;1;0;0
37;f;What is the 47th Ferengi Rule of Acquisition?;Don't trust a man wearing a better suit than your own.;;;;;1;0;0
38;f;What is the 48th Ferengi Rule of Acquisition?;The bigger the smile, the sharper the knife.;;;;;1;0;0
39;f;What is the 52nd Ferengi Rule of Acquisition?;Never ask when you can take.;;;;;1;0;0
40;f;What is the 53rd Ferengi Rule of Acquisition?;Never trust anybody taller than you.;;;;;1;0;0
41;f;What is the 54th Ferengi Rule of Acquisition?;"Rate divided by time equals profit. (Also known as ""The Velocity of Wealth."")";;;;;1;0;0
42;f;What is the 55th Ferengi Rule of Acquisition?;Take joy from profit, and profit from joy.;;;;;1;0;0
43;f;What is the 57th Ferengi Rule of Acquisition?;Good customers are as rare as latinum�treasure them.;;;;;1;0;0
44;f;What is the 58th Ferengi Rule of Acquisition?;There is no substitute for success.;;;;;1;0;0
45;f;What is the 59th Ferengi Rule of Acquisition?;Free advice is seldom cheap.;;;;;1;0;0
46;f;What is the 60th Ferengi Rule of Acquisition?;Keep your lies consistent.;;;;;1;0;0
47;f;What is the 62nd Ferengi Rule of Acquisition?;The riskier the road, the greater the profit;;;;;1;0;0
48;f;What is the 63rd Ferengi Rule of Acquisition?;Work is the best therapy-at least for your employees.;;;;;1;0;0
49;f;What is the 65th Ferengi Rule of Acquisition?;Win or lose,  there's always Hupyrian beetle snuff.;;;;;1;0;0
50;f;What is the 66th Ferengi Rule of Acquisition?;Someone's always got bigger ears.;;;;;1;0;0
51;f;What is the 68th Ferengi Rule of Acquisition?;Risk doesn't always equal reward.;;;;;1;0;0
52;f;What is the 69th Ferengi Rule of Acquisition?;Ferengi are not responsible for the stupidity of other races.;;;;;1;0;0
53;f;What is the 74th Ferengi Rule of Acquisition?;Knowledge equals profit.;;;;;1;0;0
54;f;What is the 75th Ferengi Rule of Acquisition?;Home is where the heart is... but the stars are made of latinum.;;;;;1;0;0
55;f;What is the 76th Ferengi Rule of Acquisition?;Every once in a while,  declare peace. It confuses the hell out of your enemies.;;;;;1;0;0
56;f;What is the 77th Ferengi Rule of Acquisition?;If you break it,  I'll charge you for it!;;;;;1;0;0
57;f;What is the 79th Ferengi Rule of Acquisition?;Beware of the Vulcan greed for knowledge.;;;;;1;0;0
58;f;What is the 82nd Ferengi Rule of Acquisition?;The flimsier the product, the higher the price.;;;;;1;0;0
59;f;What is the 85th Ferengi Rule of Acquisition?;Never let the competition know what you're thinking.;;;;;1;0;0
60;f;What is the 87th Ferengi Rule of Acquisition?;Learn the customer's weaknesses,  so that you can better take advantage of him.;;;;;1;0;0
61;f;What is the 88th Ferengi Rule of Acquisition?;It ain't over 'til its over.;;;;;1;0;0
62;f;What is the 88th Ferengi Rule of Acquisition?;Vengeance will cost you everything.;;;;;1;0;0
63;f;What is the 89th Ferengi Rule of Acquisition?;Ask not what your profits can do for you, but what you can do for your profits.;;;;;1;0;0
64;f;What is the 89th Ferengi Rule of Acquisition?;[It is] better to lose some profit and live than lose all profit and die.;;;;;1;0;0
65;f;What is the 92nd Ferengi Rule of Acquisition?;There are many paths to profit.;;;;;1;0;0
66;f;What is the 94th Ferengi Rule of Acquisition?;Females and finances don't mix.;;;;;1;0;0
67;f;What is the 95th Ferengi Rule of Acquisition?;Expand or die.;;;;;1;0;0
68;f;What is the 97th Ferengi Rule of Acquisition?;Enough... is never enough.;;;;;1;0;0
69;f;What is the 98th Ferengi Rule of Acquisition?;Every man has his price.;;;;;1;0;0
70;f;What is the 98th Ferengi Rule of Acquisition?;If you can't take it with you, don't go.;;;;;1;0;0
71;f;What is the 99th Ferengi Rule of Acquisition?;Trust is the biggest liability of all.;;;;;1;0;0
72;f;What is the 100th Ferengi Rule of Acquisition?;When it's good for business, tell the truth;;;;;1;0;0
73;f;What is the 101st Ferengi Rule of Acquisition?;Profit trumps emotion.;;;;;1;0;0
74;f;What is the 102nd Ferengi Rule of Acquisition?;Nature decays, but latinum lasts forever.;;;;;1;0;0
75;f;What is the 103rd Ferengi Rule of Acquisition?;Sleep can interfere with opportunity.;;;;;1;0;0
76;f;What is the 104th Ferengi Rule of Acquisition?;Faith moves mountains... of inventory.;;;;;1;0;0
77;f;What is the 106th Ferengi Rule of Acquisition?;There is no honor in poverty.;;;;;1;0;0
78;f;What is the 108th Ferengi Rule of Acquisition?;Hope doesn't keep the lights on.;;;;;1;0;0
79;f;What is the 108th Ferengi Rule of Acquisition?;A woman wearing clothes is like a man without any profits.;;;;;1;0;0
80;f;What is the 109th Ferengi Rule of Acquisition?;Dignity and an empty sack is worth the sack.;;;;;1;0;0
81;f;What is the 110th Ferengi Rule of Acquisition?;Exploitation begins at home.;;;;;1;0;0
82;f;What is the 111th Ferengi Rule of Acquisition?;Treat people in your debt like family... exploit them.;;;;;1;0;0
83;f;What is the 112th Ferengi Rule of Acquisition?;Never have sex with the boss' sister.;;;;;1;0;0
84;f;What is the 113th Ferengi Rule of Acquisition?;Always have sex with the boss.;;;;;1;0;0
85;f;What is the 117th Ferengi Rule of Acquisition?;You can't free a fish from water.;;;;;1;0;0
86;f;What is the 121st Ferengi Rule of Acquisition?;Everything is for sale, even friendship.;;;;;1;0;0
87;f;What is the 122nd Ferengi Rule of Acquisition?;Never Sleep with the bosses sister;;;;;1;0;0
88;f;What is the 123rd Ferengi Rule of Acquisition?;Even a blind man can recognize the glow of Latinum.;;;;;1;0;0
89;f;What is the 125th Ferengi Rule of Acquisition?;You can't make a deal if you're dead.;;;;;1;0;0
90;f;What is the 135th Ferengi Rule of Acquisition?;Listen to secrets, but never repeat them.;;;;;1;0;0
91;f;What is the 139th Ferengi Rule of Acquisition?;Wives serve, brothers inherit.;;;;;1;0;0
92;f;What is the 141st Ferengi Rule of Acquisition?;Only fools pay retail.;;;;;1;0;0
93;f;What is the 144th Ferengi Rule of Acquisition?;There's nothing wrong with charity... as long as it winds up in your pocket.;;;;;1;0;0
94;f;What is the 147th Ferengi Rule of Acquisition?;People love the bartender.;;;;;1;0;0
95;f;What is the 151st Ferengi Rule of Acquisition?;Even when you're a customer, sell yourself.;;;;;1;0;0
96;f;What is the 153rd Ferengi Rule of Acquisition?;Sell the sizzle, not the steak.;;;;;1;0;0
97;f;What is the 162nd Ferengi Rule of Acquisition?;Even in the worst of times someone turns a profit.;;;;;1;0;0
98;f;What is the 168th Ferengi Rule of Acquisition?;Whisper your way to success.;;;;;1;0;0
99;f;What is the 177th Ferengi Rule of Acquisition?;Know your enemies... but do business with them always.;;;;;1;0;0
100;f;What is the 181st Ferengi Rule of Acquisition?;Not even dishonesty can tarnish the shine of profit.;;;;;1;0;0
101;f;What is the 183rd Ferengi Rule of Acquisition?;When life hands you bungaberries, make detergent.;;;;;1;0;0
102;f;What is the 184th Ferengi Rule of Acquisition?;A Ferengi waits to bid until his opponents have exhausted themselves.;;;;;1;0;0
103;f;What is the 188th Ferengi Rule of Acquisition?;Not even dishonesty can tarnish the shine of profit.;;;;;1;0;0
104;f;What is the 189th Ferengi Rule of Acquisition?;Let others keep their reputation. You keep their money.;;;;;1;0;0
105;f;What is the 190th Ferengi Rule of Acquisition?;Hear all, trust nothing.;;;;;1;0;0
106;f;What is the 192nd Ferengi Rule of Acquisition?;Never cheat a�Klingon... unless you're sure you can get away with it.;;;;;1;0;0
107;f;What is the 193rd Ferengi Rule of Acquisition?;Trouble comes in threes.;;;;;1;0;0
108;f;What is the 193rd Ferengi Rule of Acquisition?;It's never too late to fire the staff.;;;;;1;0;0
109;f;What is the 194th Ferengi Rule of Acquisition?;It's always good business to know about new customers before they walk in your door.;;;;;1;0;0
110;f;What is the 199th Ferengi Rule of Acquisition?;Location, location, location.;;;;;1;0;0
111;f;What is the 200th Ferengi Rule of Acquisition?;A Ferengi chooses no side but his own.;;;;;1;0;0
112;f;What is the 202nd Ferengi Rule of Acquisition?;The justification for profit is profit.;;;;;1;0;0
113;f;What is the 203rd Ferengi Rule of Acquisition?;New customers are like razor-toothed gree worms. They can be succulent, but sometimes they bite back.;;;;;1;0;0
114;f;What is the 208th Ferengi Rule of Acquisition?;Sometimes, the only thing more dangerous than a question is an answer.;;;;;1;0;0
115;f;What is the 211th Ferengi Rule of Acquisition?;Employees are the rungs on the ladder of success. Don't hesitate to step on them.;;;;;1;0;0
116;f;What is the 212th Ferengi Rule of Acquisition?;A good lie is easier to believe than the truth.;;;;;1;0;0
117;f;What is the 214th Ferengi Rule of Acquisition?;Never begin a (business) negotiation on an empty stomach.;;;;;1;0;0
118;f;What is the 216th Ferengi Rule of Acquisition?;Never gamble with a telepath.;;;;;1;0;0
119;f;What is the 217th Ferengi Rule of Acquisition?;Always know what you're buying.;;;;;1;0;0
120;f;What is the 217th Ferengi Rule of Acquisition?;You can't free a fish from water.;;;;;1;0;0
121;f;What is the 218th Ferengi Rule of Acquisition?;Sometimes what you get free costs entirely too much.;;;;;1;0;0
122;f;What is the 219th Ferengi Rule of Acquisition?;Possession is eleven-tenths of the law!;;;;;1;0;0
123;f;What is the 223rd Ferengi Rule of Acquisition?;Beware the man who doesn't take time for�Oo-mox.;;;;;1;0;0
124;f;What is the 227th Ferengi Rule of Acquisition?;If that's what's written, then that's what's written.;;;;;1;0;0
125;f;What is the 229th Ferengi Rule of Acquisition?;Latinum lasts longer than lust.;;;;;1;0;0
126;f;What is the 235th Ferengi Rule of Acquisition?;"Duck; death is tall.";;;;;1;0;0
127;f;What is the 236th Ferengi Rule of Acquisition?;You can't buy fate.;;;;;1;0;0
128;f;What is the 239th Ferengi Rule of Acquisition?;Never be afraid to mislabel a product.;;;;;1;0;0
129;f;What is the 240th Ferengi Rule of Acquisition?;Time, like latinum, is a highly limited commodity.;;;;;1;0;0
130;f;What is the 242nd Ferengi Rule of Acquisition?;More is good... all is better.;;;;;1;0;0
131;f;What is the 243rd Ferengi Rule of Acquisition?;Always leave yourself an out.;;;;;1;0;0
132;f;What is the 248th Ferengi Rule of Acquisition?;The definition of insanity is trying the same failed scheme & expecting different results;;;;;1;0;0
133;f;What is the 255th Ferengi Rule of Acquisition?;A wife is luxury... a smart accountant a neccessity.;;;;;1;0;0
134;f;What is the 257th Ferengi Rule of Acquisition?;When the messenger comes to appropriate your profits, kill the messenger.;;;;;1;0;0
135;f;What is the 261st Ferengi Rule of Acquisition?;A wealthy man can afford anything except a conscience.;;;;;1;0;0
136;f;What is the 263rd Ferengi Rule of Acquisition?;Never allow doubt to tarnish your lust for latinum.;;;;;1;0;0
137;f;What is the 266th Ferengi Rule of Acquisition?;When in doubt, lie.;;;;;1;0;0
138;f;What is the 267th Ferengi Rule of Acquisition?;If you believe it, they believe it.;;;;;1;0;0
139;f;What is the 272nd Ferengi Rule of Acquisition?;Always inspect the merchandise before making a deal.;;;;;1;0;0
140;f;What is the 280th Ferengi Rule of Acquisition?;If it ain't broke, don't fix it.;;;;;1;0;0
141;f;What is the 284th Ferengi Rule of Acquisition?;Deep down, everyone's a Ferengi.;;;;;1;0;0
142;f;What is the 285th Ferengi Rule of Acquisition?;No good deed ever goes unpunished.;;;;;1;0;0
143;f;What is the 286th Ferengi Rule of Acquisition?;When Morn leaves,it's all over.;;;;;1;0;0
144;f;What is the 287th Ferengi Rule of Acquisition?;Always get somebody else to do the lifting.;;;;;1;0;0
145;f;What is the 288th Ferengi Rule of Acquisition?;Never get�into�anything that you can't get�out�of.;;;;;1;0;0
146;f;What is the 289th Ferengi Rule of Acquisition?;A man is only worth the sum of his possessions.;;;;;1;0;0
147;f;What is the 290th Ferengi Rule of Acquisition?;An angry man is an enemy, and a satisfied man is an ally.;;;;;1;0;0
148;f;What is the 291st Ferengi Rule of Acquisition?;The less employees know about the cash flow, the small the share they can demand.;;;;;1;0;0
149;f;What is the 292nd Ferengi Rule of Acquisition?;Only a fool passes up a business opportunity.;;;;;1;0;0
150;f;What is the 293rd Ferengi Rule of Acquisition?;The more time they take deciding, the more money they will spend.;;;;;1;0;0
151;f;What is the 294th Ferengi Rule of Acquisition?;A bargain usually isn't.;;;;;1;0;0
152;f;What is the 299th Ferengi Rule of Acquisition?;Whenever you exploit someone, it never hurts to thank them...That way it's easier to exploit them the next time.;;;;;1;0;0
